item_name;item_category;p_kw;efficiency;cos_phi;k;rx
22kW, 4P, IE3;IE3 (Premium efficiency);22;93;0.85;7.5;0.42
30kW, 4P, IE3;IE3 (Premium efficiency);30;93.6;0.85;7.5;0.42
37kW, 4P, IE3;IE3 (Premium efficiency);37;93.9;0.85;7.5;0.42
45kW, 4P, IE3;IE3 (Premium efficiency);45;94.2;0.85;7.5;0.42
55kW, 4P, IE3;IE3 (Premium efficiency);55;94.6;0.85;7.5;0.42
75kW, 4P, IE3;IE3 (Premium efficiency);75;95;0.85;7.7;0.42
90kW, 4P, IE3;IE3 (Premium efficiency);90;95.2;0.85;7.7;0.42
110kW, 4P, IE3;IE3 (Premium efficiency);110;95.4;0.85;7.7;0.42
125kW, 4P, IE3;IE3 (Premium efficiency);125;95.5;0.85;7.7;0.42
132kW, 4P, IE3;IE3 (Premium efficiency);132;95.6;0.85;7.7;0.42
160kW, 4P, IE3;IE3 (Premium efficiency);160;95.8;0.85;7.7;0.42
200kW, 4P, IE3;IE3 (Premium efficiency);200;96;0.85;7.7;0.42
250kW, 4P, IE3;IE3 (Premium efficiency);250;96;0.85;7.7;0.42
315kW, 4P, IE3;IE3 (Premium efficiency);315;96;0.85;7.7;0.42
