item_name;item_category;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Outpatient Health Care - Building - Equipment;NREL;0.3;0.3;0.3;0.3;0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;0.3;0.3;0.3;0.3
Outpatient Health Care - Building - Light;NREL;0.1;0.1;0.1;0.1;0.3;0.3;0.6;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.6;0.6;0.3;0.3;0.1;0.1
Outpatient Health Care - Building - HVAC;NREL;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Outpatient Health Care - Radiology - Equipment;NREL;0.01;0.01;0.01;0.01;0.01;0.01;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.01;0.01;0.01;0.01;0.01;0.01
Outpatient Health Care - Radiology - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Large Hotel - Building - Equipment;NREL;0.3;0.25;0.2;0.2;0.2;0.3;0.5;0.6;0.5;0.5;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.7;0.9;0.95;0.9;0.7;0.4
Large Hotel - Building - Light;NREL;0.2;0.15;0.1;0.1;0.1;0.2;0.4;0.5;0.4;0.4;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.6;0.8;0.9;0.8;0.6;0.3
Large Hotel - Building - Elevator;NREL;0.05;0.05;0.05;0.05;0.1;0.2;0.4;0.5;0.5;0.35;0.15;0.15;0.15;0.15;0.15;0.15;0.35;0.5;0.5;0.4;0.4;0.3;0.2;0.1
Large Hotel - Building - HVAC;NREL;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Large Hotel - Guest Room - Equipment;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.62;0.9;0.43;0.43;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.51;0.51;0.49;0.66;0.7;0.35;0.2
Large Hotel - Guest Room - Light;NREL;0.22;0.17;0.11;0.11;0.11;0.22;0.44;0.56;0.44;0.44;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.67;0.89;1;0.89;0.67;0.33
Large Hotel - Laundry Room - Equipment;NREL;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
Large Hotel - Kitchen - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.25;0.35;0.35;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.25;0.25
Large Hotel - Kitchen - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Large Hotel - Kitchen - Exhaust;NREL;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Small Hotel - Building - Equipment;NREL;0.3;0.25;0.2;0.2;0.2;0.3;0.5;0.6;0.5;0.5;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.7;0.9;0.95;0.9;0.7;0.4
Small Hotel - Building - Light;NREL;0.2;0.15;0.1;0.1;0.1;0.2;0.4;0.5;0.4;0.4;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.6;0.8;0.9;0.8;0.6;0.3
Small Hotel - Building - Elevator;NREL;0.05;0.05;0.05;0.05;0.1;0.2;0.4;0.5;0.5;0.35;0.15;0.15;0.15;0.15;0.15;0.15;0.35;0.5;0.5;0.4;0.4;0.3;0.2;0.1
Small Hotel - Building - HVAC;NREL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Small Hotel - Corridoor - Light;NREL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Small Hotel - Employee Lounge - Equipment;NREL;0.11;0.11;0.11;0.11;0.11;0.19;0.19;0.25;1;1;0.86;0.86;1;0.86;0.86;0.86;0.86;0.86;0.25;0.19;0.11;0.11;0.11;0.11
Small Hotel - Employee Lounge - Light;NREL;0.05;0.05;0.05;0.05;0.05;0.15;0.4;0.5;1;1;1;1;1;1;1;1;1;1;0.5;0.4;0.15;0.15;0.05;0.05
Small Hotel - Excercise Room - Equipment;NREL;0;0;0;0;0;0;0.5;1;1;0.5;0.5;0.5;0;0.5;0.5;0.5;1;0.5;0.5;1;1;0.5;0.5;0
Small Hotel - Excercise Room - Light;NREL;0;0;0;0;0;0;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0
Small Hotel - Guest Room - Equipment;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.62;0.9;0.43;0.43;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.51;0.51;0.49;0.66;0.7;0.35;0.2
Small Hotel - Guest Room - Light;NREL;0.22;0.17;0.11;0.11;0.11;0.22;0.44;0.56;0.44;0.44;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.67;0.89;1;0.89;0.67;0.33
Small Hotel - Laundry Room - Equipment;NREL;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
Small Hotel - Laundry Room - Light;NREL;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
Small Hotel - Meeting Room - Equipment;NREL;0;0;0;0;0;0;0;0.05;0.54;0.54;0.26;0.26;0.05;0.54;0.54;0.26;0.26;0.26;0.05;0.05;0;0;0;0
Small Hotel - Meeting Room - Light;NREL;0;0;0;0;0;0.2;0.3;0.5;1;1;1;1;1;1;1;1;1;1;0.5;0.3;0.2;0.05;0;0
Small Hotel - Office - Equipment;NREL;0.33;0.33;0.33;0.33;0.33;0.38;0.38;0.43;0.43;0.43;1;1;0.94;1;1;1;1;0.75;0.63;0.63;0.48;0.48;0.33;0.33
Small Hotel - Office - Light;NREL;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.61;0.9;0.9;0.9;0.9;0.8;0.9;0.9;0.9;0.9;0.61;0.5;0.5;0.5;0.5;0.5;0.5
Small Hotel - Storage - Light;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2;0.2;0.1;0.1
Warehouse - Building - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.5;0.8;0.9;0.9;0.9;0.8;0.9;0.9;0.9;0.9;0.4;0.1;0.1;0.1;0.1;0.1;0.1
Warehouse - Building - Light;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.4;0.7;0.9;0.9;0.9;0.8;0.9;0.9;0.9;0.9;0.3;0.1;0.1;0.1;0.1;0.1;0.1
Warehouse - Building - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
