item_name;item_category;custom;type;In;Isc;pcurve_l;pcurve_g
100A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;100;80;('fuse_schneider', '100_2.csv', 'params.json');
125A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;125;80;('fuse_schneider', '125_2.csv', 'params.json');
160A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;160;80;('fuse_schneider', '160_2.csv', 'params.json');
200A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;200;80;('fuse_schneider', '200_2.csv', 'params.json');
250A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;250;80;('fuse_schneider', '250_2.csv', 'params.json');
315A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;315;80;('fuse_schneider', '315_2.csv', 'params.json');
400A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;400;80;('fuse_schneider', '400_2.csv', 'params.json');
500A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;500;80;('fuse_schneider', '500_2.csv', 'params.json');
630A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;630;80;('fuse_schneider', '630_2.csv', 'params.json');
800A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;800;80;('fuse_schneider', '800_2.csv', 'params.json');
1000A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;1000;80;('fuse_schneider', '1000_2.csv', 'params.json');
1250A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;1250;80;('fuse_schneider', '1250_2.csv', 'params.json');
6.3A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;6.3;63;('fuse_abb_cef', '6.3.csv', 'params.json');
10A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;10;63;('fuse_abb_cef', '10.csv', 'params.json');
16A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;16;63;('fuse_abb_cef', '16.csv', 'params.json');
20A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;20;63;('fuse_abb_cef', '20.csv', 'params.json');
25A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;25;63;('fuse_abb_cef', '25.csv', 'params.json');
31.5A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;31.5;63;('fuse_abb_cef', '31.5.csv', 'params.json');
40A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;40;63;('fuse_abb_cef', '40.csv', 'params.json');
50A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;50;63;('fuse_abb_cef', '50.csv', 'params.json');
63A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;63;63;('fuse_abb_cef', '63.csv', 'params.json');
80A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;80;63;('fuse_abb_cef', '80.csv', 'params.json');
100A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;100;63;('fuse_abb_cef', '100.csv', 'params.json');
125A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;125;63;('fuse_abb_cef', '125.csv', 'params.json');
160A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;160;63;('fuse_abb_cef', '160.csv', 'params.json');
200A, MV HRC;MV HRC - CEF - ABB;True;MV HRC;200;63;('fuse_abb_cef', '200.csv', 'params.json');
